IDL,NOML,IDLPERE
100,France,
101,Provence-Alpes-Côte dAzur,100
102,Rhône-Alpes,100
104,Midi-Pyrénées,100
105,Aquitaine,100
106,Limousin,100
107,Auvergne,100
108,Poitou-Charentes,100
109,Pays de la Loire,100
110,Centre,100
111,Bourgogne,100
112,Franche-Comté,100
83,Var,101
13,Bouches-du-Rhône,101
6,Alpes-Maritimes,101
4,Alpes de Haute Provence,101
84,Vaucluse,101
113,Occitanie,100
30,Gard,113
34,Hérault,113
11,Aude,113
66,Pyrénées-Orientales,102
9,Ariège,104
31,Haute-Garonne,104
81,Tarn,104
65,Hautes-Pyrénées,104
64,Pyrénées-Atlantiques,105
40,Landes,105
32,Gers,104
47,Lot-et-Garonne,105
33,Gironde,105
82,Tarn-et-Garonne,104
46,Lot,104
12,Aveyron,104
48,Lozère,113
7,Ardèche,113
26,Drôme,102
5,Hautes-Alpes,101
24,Dordogne,105
15,Cantal,107
19,Corrèze,106
43,Haute-Loire,107
38,Isère,102
73,Savoie,102
17,Charente-Maritime,108
16,Charente,108
87,Haute-Vienne,106
63,Puy-de-Dôme,107
42,Loire,102
69,Rhône,102
74,Haute-Savoie,102
23,Creuse,106
1,Ain,102
85,Vendée,109
79,Deux-Sèvres,108
86,Vienne,108
36,Indre,110
18,Cher,110
3,Allier,107
71,Saône-et-Loire,111
39,Jura,112
58,Nièvre,111
44,Loire-Atlantique,109
83000,Toulon,83
13000,Marseille,13
6000,Nice,6
4000,Digne les Bains,4
84000,Avignon,84
30000,Nîmes,30
34000,Montpellier,34
11000,Carcassonne,11
66000,Perpignan,66
9000,Foix,9
31000,Toulouse,31
81000,Albi,81
65000,Tarbes,65
64000,Pau,9
40100,Dax,40
32000,Auch,32
47000,Agen,47
33000,Bordeaux,30
82000,Montauban,82
46000,Cahors,46
12100,Millau,12
48000,Mende,48
7000,Privas,7
46001,Valence,46
5000,Gap,5
24100,Bergerac,24
15000,Aurillac,15
19100,Brive-la-Gaillarde,19
43000,Le Puy-en-Velay,43
38000,Grenoble,38
73000,Chambéry,73
17000,La Rochelle,17
16000,Angoulême,16
87000,Limoges,87
63000,Clermont-Ferrand,63
42000,Saint-Etienne,42
69000,Lyon,69
74000,Annecy,74
23000,Guéret,23
1000,Bourg-en-Brest,1
85000,La Roche-sur-Yon,85
79000,Niort,79
86000,Poitiers,86
36000,Châteauroux,36
18033,Bourges,18
3200,Vichy,3
71100,Châlons-sur-Saône,71
39100,Dole,39
58000,Nevers,58
44000,Nantes,44
